term_id,concept_id,language_id,language_code,country_code,language_name,term_content,term_originator_reference,term_document_id,term_url,term_description,term_organization_id,term_organization_name,term_is_deprecated,concept_type_id,concept_type_name,concept_is_deprecated,definition_id,definition_content,definition_under_development,definition_originator_reference,definition_document_id,definition_url,definition_description,definition_organization_id,definition_organization_name,definition_is_deprecated,definition_is_default,label_id,label_content,label_originator_reference,label_document_id,label_url,label_description,label_organization_id,label_organization_name,label_is_deprecated,abbreviation_id,abbreviation_content,abbreviation_originator_ref,abbreviation_document_id,abbreviation_url,abbreviation_description,abbreviation_organization_id,abbreviation_organization_name,abbreviation_is_deprecated,plural_id,plural_singular_term_item_id,plural_content,plural_originator_reference,plural_document_id,plural_url,plural_description,plural_organization_id,plural_organization_name,plural_is_deprecated,nain
0161-1#TM-2929084#1,0161-1#09-0000106#1,0161-1#LG-000001#1,en,en,English-United States,exchange file,"ISO 15926-1:2004(en), 3.1.9 (1000001193)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929120#1,"exchange file: computer-interpretable format used for storing, accessing, transferring and archiving data - ISO 15926-1:2004(en), 3.1.9",,"ISO 15926-1:2004(en), 3.1.9 (1000001193)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929094#1,0161-1#09-0000116#1,0161-1#LG-000001#1,en,en,English-United States,object,"ISO 22745-2:2010(en), 2.3 (1000001434)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929130#1,"object: anything perceivable or conceivable - ISO 22745-2:2010(en), 2.3",,"ISO 22745-2:2010(en), 2.3 (1000001434)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2847253#1,0161-1#DF-2277590#1,0161-1#LG-000006#1,es,ES,Spanish; Castilian-Spain,UNIDAD DE TURBIDEZ JACKSON,"","","","",0161-1#OG-000203#1,SICSC,f,"","",0,0161-1#DF-2338078#1,DEFINITION UNDER DEVELOPMENT,,"",,,,0161-1#OG-000203#1,SICSC,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929125#1,0161-1#09-0000147#1,0161-1#LG-000001#1,en,en,English-United States,class,"ISO/TS 15926-7:2011(en), 2.1.2 (1000004255)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929161#1,"class: category or division of things based on one or more critera for inclusion and exclusion - ISO/TS 15926-7:2011(en), 2.1.2",,"ISO/TS 15926-7:2011(en), 2.1.2 (1000004255)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929093#1,0161-1#09-0000115#1,0161-1#LG-000001#1,en,en,English-United States,class,"ISO 22745-2:2010(en), 2.1 (1000001432)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929129#1,"class: group of objects with common properties - ISO 22745-2:2010(en), 2.1",,"ISO 22745-2:2010(en), 2.1 (1000001432)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929148#1,0161-1#09-0000170#1,0161-1#LG-000001#1,en,en,English-United States,administered item,"ISO/TS 29002-5:2009(en), 3.7 (1000004353)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929184#1,"administered item: item in a concept dictionary for which administrative information can be recorded - ISO/TS 29002-5:2009(en), 3.7",,"ISO/TS 29002-5:2009(en), 3.7 (1000004353)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929081#1,0161-1#09-0000103#1,0161-1#LG-000001#1,en,en,English-United States,data store,"ISO 15926-1:2004(en), 3.1.6 (1000001190)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929117#1,"data store: computer system that allows data to be stored for future reference - ISO 15926-1:2004(en), 3.1.6",,"ISO 15926-1:2004(en), 3.1.6 (1000001190)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929152#1,0161-1#09-0000174#1,0161-1#LG-000001#1,en,en,English-United States,vector data image,"ISO 12651-1:2012(en), 4.14 (1000004429)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929188#1,"vector data image: image (4.67) stored as a data file containing vector (4.138) information - ISO 12651-1:2012(en), 4.14",,"ISO 12651-1:2012(en), 4.14 (1000004429)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929085#1,0161-1#09-0000107#1,0161-1#LG-000001#1,en,en,English-United States,class,"ISO 15926-2:2003(en), 3.1.1 (1000001194)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929121#1,"class: category or division of things based on one or more criterion for inclusion and exclusion - ISO 15926-2:2003(en), 3.1.1",,"ISO 15926-2:2003(en), 3.1.1 (1000001194)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
0161-1#TM-2929149#1,0161-1#09-0000171#1,0161-1#LG-000001#1,en,en,English-United States,vector,"ISO 12651-1:2012(en), 4.138 (1000004387)","","","",0161-1#OG-003645#1,ECCMA SC5,f,0161-1#CT-09#1,Data Type,0,0161-1#DF-2929185#1,"vector: line for which both direction and length have assigned values - ISO 12651-1:2012(en), 4.138",,"ISO 12651-1:2012(en), 4.138 (1000004387)",,,,0161-1#OG-003645#1,ECCMA SC5,0,"",,,,,,,,"",,,,,,,,,"",,,,,,,,,,"",,0
